段階	検証ID	検証内容	操作・前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
P0_MAIL2	SS-N-MAIL2-06	D-4 本文要素	D-4メール本文確認	(1)「あなたのアカウントに管理者権限が付与されました」 (2)会社/付与権限/担当店舗/付与日時 (3)**パスワード再設定不要**の明記 (4)ログインボタン (5)PW忘れ時の案内 (6)心当たりがない場合の対処	mail_d4_body.png	(メール)	仕様書§9.2 / index.html L1914-1927			仕様書§9.2
P0_MAIL2	SS-N-MAIL2-07	D-4 PW再設定リンク無し	D-4メール本文に「パスワード設定」ボタンが含まれない	「ログインする」ボタンのみ、PW再設定リンクなし	mail_d4_no_pwlink.png	(メール)	衝突回避モデルの本質: ロール追加はPW不要			仕様書§16.6 / 仕様書§9.2
P0_MAIL2	SS-N-MAIL2-08	HTMLメール/プレーンテキスト両対応	D-3/D-4 を異なるメールクライアントで受信	**HS判定候補**: 仕様書§9.3「HTMLメール/プレーンテキスト両対応 必要か要確定」	-	(メール)	-			仕様書§9.3
P0_MAIL2	SS-N-MAIL2-09	M-2/M-3廃止確認	既存仕様書のM-2(オーナー招待)/M-3(管理者招待)	招待メール送信機能自体なし、M-2/M-3 廃止のまま	-	-	2026-05-13 PdM決定により新規登録時の招待メールは全て廃止			requirements.md sec5.1 / 2026-05-13 PdM決定
P0_COL	SS-N-COL-01	衝突回避モデル DB制約	accounts.email カラム	UNIQUE制約あり(同一メアドで2アカウント作れない)	-	(DB)	仕様書§16.2 / §16.7チェックリスト			仕様書§16.2 / §16.7
P0_COL	SS-N-COL-02	ロール累積テーブル構造	roles テーブル	(account_id, role_type=employee/admin, stores, emptype, granted_at) 構造、複数role併存可	-	(DB)	仕様書§16.2			仕様書§16.2
P0_COL	SS-N-COL-03	ケース2 既存従業員→管理者昇格	既存従業員Aが存在→D-2「従業員から選択」でAを選択→「登録 & 招待送信」	(1)Aのaccountに admin role 追加(employee role 維持) (2)新規アカウント作成なし (3)D-4「権限拡張通知」1通のみ送信(PW再設定不要)	-	(DB+メール)	仕様書§16.3 ケース2			仕様書§16.3
P0_COL	SS-N-COL-04	ケース3 既存管理者に従業員追加(逆方向)	既存管理者Bが存在→C-1で同メアドで従業員登録	(1)Bのaccountに employee role 追加(admin role 維持) (2)権限拡張通知1通送信	-	(DB+メール)	仕様書§16.3 ケース3 / 従業員登録側のロジック			仕様書§16.3
P0_COL	SS-N-COL-05	権限拡張通知 PW再設定不要	COL-03/04のメール本文	既存PW継続利用可、PW設定リンクなし	-	(メール)	仕様書§16.6			仕様書§16.6
P0_COL	SS-N-COL-06	別会社の既存メアド	companyAのオーナーが、companyBで使用済みのメアドで管理者登録(新規登録タブ)	**HS判定候補**: Clerkは全テナントで一意のため衝突可能性。仕様書§16.7にチェック項目あるが処理仕様未明確	-	D-2	仕様書§16.7 / requirements.md sec4.2 L353			HS判定
P1_EDGE	SS-N-EDGE2-01	プルダウン option data属性整合	「従業員から選択」プルダウンのHTML属性	全optionに data-email / data-store / data-type が設定されており、d2OnEmpSelect()で正しく取り出される	-	D-2	index.html L1827-1832 / L3034			仕様書§5.1
P1_EDGE	SS-N-EDGE2-02	従業員台帳0件時の挙動	新規会社で従業員ゼロの状態でD-2「従業員から選択」を開く	プルダウンに option が「-- 従業員を選択してください --」のみ、エンプティメッセージ「先に従業員を登録してください」または disabled 推奨(IMP候補)	-	D-2	仕様未明記、IMP候補			IMP判定
P1_EDGE	SS-N-EDGE2-03	所属店舗が削除済みの従業員選択	従業員Aの所属店舗が削除済みの場合にAを選択	初期チェック対象店舗が存在しないため何もチェックされない、エラー表示なし→ユーザーが手動で担当店舗選択可	-	D-2	参照整合性、HS候補			HS判定
P1_EDGE	SS-N-EDGE2-04	複数ブラウザで同時にD-2を開く	2ブラウザでオーナーが同時に同じ従業員Aを管理者登録	1つだけ成功、もう一方はエラー(既に管理者として登録済み)	-	D-2	RACE系、楽観ロック or DB一意制約			HS判定
P0_PERM	SS-N-PERM-B-01	管理者ログイン → D-2「+ 管理者を登録」	管理者(オーナーではない)がD-1にアクセス	「+ 管理者を登録」ボタン非表示 + APIにPOSTでも403	-	D-1/API	権限マトリクス sec1.3、管理者登録はオーナー専用			requirements.md sec1.3
P0_PERM	SS-N-PERM-B-02	従業員ログイン → D-1 アクセス	従業員が /dashboard/administrators にアクセス	画面表示されない(403 or リダイレクト)	-	-	権限マトリクス			requirements.md sec1.3
P1_SEC	SS-N-SEC-B-01	「従業員から選択」での店舗ID偽装	担当外店舗のstore_idを直接APIに送る	403	-	(API)	-			sec1.3
P1_SEC	SS-N-SEC-B-02	既存管理者の昇格 二重送信	BTN-05を連続2回クリック(または並列送信)	2通目以降は冪等処理または409 Conflict、メール2通送信されない	-	(API+メール)	仕様書§16.7 PW設定URL一意性			仕様書§16.7
P2_DOC	SS-N-DOC-B-01	モック仕様一致性(D-2)	エンジニア検証UI vs https://suguru789987.github.io/rakmy-owner-registration-mock/#d2	タブ構造/フィールド/ボタン3つ/プルダウン形式 が一致	-	-	不一致箇所はFIX候補			仕様書 §2
P2_DOC	SS-N-DOC-B-02	「初期パスワード共有」記述の整合	D-2 新規登録タブのインフォメーション L1801	衝突回避モデル(PW無し招待メール方式)と整合する文言に更新されているか	-	D-2	**IMP候補**: 旧仕様残り、現行は招待メールでPW設定			仕様書§16 vs §3.2インフォ文
P2_DOC	SS-N-DOC-B-03	「Secured by Clerk」表記	C-5 PW設定画面 L858相当	Clerkユーザー化タイミング確定後に整合	-	C-5	整合性問題#29			整合性問題#29
P0_E2E	SS-N-E2E-B-01	新規管理者登録 完全動線	D-1→D-2「新規登録」→鈴木花子/suzuki@example.jp/渋谷店→「登録 & 招待送信」→D-1で確認→D-3メール受信→PW設定→ログイン	全工程OK、D-1に「鈴木花子」が管理者として表示、招待中バッジ→PW設定後に有効バッジ	e2e_admin_new.png	-	最重要シナリオ			-
P0_E2E	SS-N-E2E-B-02	既存従業員昇格 完全動線	既存従業員「にしかた」を「従業員から選択」タブで選択→「登録 & 招待送信」→D-1で確認→D-4通知メール受信→既存PWでログイン→管理者画面表示	全工程OK、PW再設定なしで管理者権限有効化	e2e_admin_promote.png	-	衝突回避モデルのコア動線			仕様書§16.4.2
P0_E2E	SS-N-E2E-B-03	「登録のみ」+ 後から招待	BTN-02で「登録のみ」→ D-1の該当行に「招待送信」ボタン or 編集経由で招待送信	招待送信ボタンが用意されているか、編集モーダル経由か → **HS候補**(仕様書に明文化なし)	-	D-1	-			HS判定
P0_E2E	SS-N-E2E-B-04	管理者削除→従業員ロール残存確認	昇格パターンで管理者になった従業員を削除→C-1で同メアドの従業員レコードを確認	C-1の従業員行は残存、admin roleのみ剥奪(employee roleは維持)	-	D-1→C-1	仕様書§7「管理者削除しても従業員レコードは残す」			仕様書§7
